experiment,k,bias2,variance,noise,mse_est
piecewise_1d_hetero_linear,1,0.0033887214636164798,0.09741796680751583,0.09106229455032983,0.19186898282146214
piecewise_1d_hetero_linear,2,0.001740118400590631,0.04874674561117035,0.09106229455032983,0.1415491585620908
piecewise_1d_hetero_linear,3,0.0012998181962517647,0.03224872515976231,0.09106229455032983,0.1246108379063439
piecewise_1d_hetero_linear,5,0.00138964921892169,0.019795632926564912,0.09106229455032983,0.11224757669581642
piecewise_1d_hetero_linear,8,0.0016060174114178943,0.012627436573498173,0.09106229455032983,0.1052957485352459
piecewise_1d_hetero_linear,13,0.0021145491782826654,0.007862073097470898,0.09106229455032983,0.10103891682608339
piecewise_1d_hetero_linear,20,0.0030252485915807864,0.005207333268153704,0.09106229455032983,0.09929487641006432
piecewise_1d_hetero_linear,30,0.0047229071664921405,0.0036965006029739057,0.09106229455032983,0.09948170231979588
piecewise_1d_hetero_linear,50,0.008349787083528095,0.002257578567235727,0.09106229455032983,0.10166966020109365
piecewise_1d_hetero_linear,80,0.01369974852049608,0.001364229139351692,0.09106229455032983,0.10612627221017759
piecewise_1d_hetero_linear,120,0.020732127688665627,0.0009538088830376203,0.09106229455032983,0.11274823112203307
piecewise_1d_hetero_linear,200,0.034869313197187564,0.0006897577938784311,0.09106229455032983,0.12662136554139583
